tax_id	assoc	stat	p.value	p.adjusted	label
549322	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Crenarchaeota (549322)
315545	Saline	0.912245460839306	4e-04	0.0138338983050847	Nitrosopumilus (315545)
348549	Saline	0.912870929175277	6e-04	0.0151148148148148	Nitrosopumilus (348549)
515691	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Crenarchaeota (515691)
525464	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Crenarchaeota (525464)
246371	Freshwater	0.885196529182761	0.0073	0.0322553264604811	Crenarchaeota (246371)
245697	Freshwater	0.994961459339763	4e-04	0.0138338983050847	Crenarchaeota (245697)
45742	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Crenarchaeota (45742)
570593	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Crenarchaeota (570593)
62881	Freshwater	0.774596669241483	0.0092	0.0322553264604811	WCHD3-02 (62881)
329648	Freshwater	0.774596669241483	0.0092	0.0322553264604811	WCHD3-02 (329648)
547371	Freshwater	0.760934280356049	0.0126	0.0397377125193199	WCHD3-02 (547371)
140729	Freshwater	0.774596669241483	0.0092	0.0322553264604811	WCHD3-02 (140729)
319002	Freshwater	0.993847609867258	4e-04	0.0138338983050847	pMC2A33 (319002)
219191	Freshwater	0.774596669241483	0.0092	0.0322553264604811	pMC2A33 (219191)
412056	Freshwater	0.774596669241483	0.0092	0.0322553264604811	pMC2A33 (412056)
250392	Saline	0.909526938070659	0.0139	0.04303937784522	MarinegroupII (250392)
308755	Saline	0.816496580927726	0.0046	0.0322553264604811	MarinegroupII (308755)
255494	Saline	0.812309391374111	0.0142	0.0435715789473684	MarinegroupII (255494)
146866	Saline	0.816496580927726	0.0046	0.0322553264604811	MarinegroupII (146866)
155847	Saline	0.811922334398415	0.0078	0.0322553264604811	MarinegroupII (155847)
79	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Methanobacterium (79)
77878	Freshwater	0.99046854602718	6e-04	0.0151148148148148	Methanobacterium (77878)
101553	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Methanobacterium (101553)
134	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Methanobacterium (134)
228569	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Methanobrevibacter (228569)
246686	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Methanobacteriaceae (246686)
67031	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Actinobacteria (67031)
512499	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Actinobacteria (512499)
160075	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Microthrixaceae (160075)
543676	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Microthrixaceae (543676)
215846	Freshwater	0.894427190999916	9e-04	0.0162517699115044	Microthrixaceae (215846)
145898	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Microthrixaceae (145898)
228452	Saline	0.912870929175277	8e-04	0.0162517699115044	wb1_P06 (228452)
317641	Freshwater	0.967628922926592	1e-04	0.00784807692307692	Actinobacteria (317641)
223441	Freshwater	0.732236445942127	0.0126	0.0397377125193199	Actinobacteria (223441)
125157	Freshwater	0.774596669241483	0.0092	0.0322553264604811	CL500-29 (125157)
575662	Freshwater	0.774596669241483	0.0092	0.0322553264604811	CL500-29 (575662)
276603	Saline	0.912870929175277	6e-04	0.0151148148148148	CL500-29 (276603)
581081	Freshwater	0.774596669241483	0.0092	0.0322553264604811	CL500-29 (581081)
354357	Freshwater	0.741048272633356	0.0117	0.0386621052631579	CL500-29 (354357)
113190	Freshwater	0.774596669241483	0.0092	0.0322553264604811	CL500-29 (113190)
84258	Freshwater	0.774596669241483	0.0092	0.0322553264604811	EB1017 (84258)
223447	Freshwater	0.774596669241483	0.0092	0.0322553264604811	EB1017 (223447)
581739	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Actinobacteria (581739)
104294	Freshwater	0.885328000244087	0.006	0.0322553264604811	Actinobacteria (104294)
11431	Freshwater	0.889595026034222	0.0011	0.0187828451882845	Actinobacteria (11431)
152323	Freshwater	0.888279852237126	0.0027	0.0320311046511628	Actinobacteria (152323)
270517	Freshwater+Saline	0.840566895941487	0.0146	0.0444978342046303	Actinobacteria (270517)
331234	Freshwater	0.791256568074944	0.0115	0.0385949835526316	Actinobacteria (331234)
193229	Freshwater	0.77225153316234	0.0126	0.0397377125193199	Actinobacteria (193229)
110305	Freshwater	0.757265691441008	0.0168	0.0491827833572453	Actinobacteria (110305)
235395	Freshwater	0.986256533494569	5e-04	0.014786231884058	ACK-M1 (235395)
105395	Freshwater	0.992874521669981	0.0105	0.0357683639398998	ACK-M1 (105395)
355132	Freshwater	0.980037911664847	0.0021	0.0288555555555556	ACK-M1 (355132)
350893	Freshwater	0.853516209642043	0.0052	0.0322553264604811	ACK-M1 (350893)
351161	Freshwater	0.960996504596394	0.0034	0.0322553264604811	ACK-M1 (351161)
331093	Freshwater	0.974485069693703	0.0112	0.0378057899090157	ACK-M1 (331093)
581541	Freshwater	0.95790522369513	5e-04	0.014786231884058	ACK-M1 (581541)
11451	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Sporichthya (11451)
83082	Freshwater	0.757265691441008	0.0082	0.0322553264604811	Actinobacteria (83082)
153548	Freshwater	0.745575182621563	0.0082	0.0322553264604811	Actinobacteria (153548)
190663	Freshwater	0.906826899347781	0.0022	0.0297291390728477	Kineosporiaceae (190663)
226363	Freshwater	0.89085409194391	0.0059	0.0322553264604811	Microbacteriaceae (226363)
249637	Saline	0.77151674981046	0.014	0.0432505677517033	Demequina (249637)
23235	Human	0.941409175863293	6e-04	0.0151148148148148	Actinomyces (23235)
247201	Freshwater	0.75111856885422	0.0136	0.0424648814078041	Mycobacterium (247201)
579213	Freshwater	0.996502262805527	1e-04	0.00784807692307692	Mycobacterium (579213)
309862	Freshwater	0.876783895837509	0.0023	0.0297702127659574	Mycobacterium (309862)
300187	Freshwater	0.949716159867634	3e-04	0.01166	Mycobacterium (300187)
542335	Freshwater	0.774596669241483	0.0092	0.0322553264604811	SHA-116 (542335)
335847	Freshwater	0.774596669241483	0.0092	0.0322553264604811	W22 (335847)
227609	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Zplanct13 (227609)
251512	Freshwater	0.774596669241483	0.0092	0.0322553264604811	Treponema (251512)
